,all onion,ebay,illegal,legal
all onion,,"0.60, 1.31","0.33, 0.62","0.35, 0.65"
ebay,"0.60, 1.31",,"0.59, 1.28","0.66, 1.46"
illegal,"0.33, 0.62","0.59, 1.28",,"0.61, 1.28"
legal,"0.35, 0.65","0.66, 1.46","0.61, 1.28",
